"uniname";"uniurl";"scountryname";"unirank"
"Sarajevo School of Science and Technology";"http://www.ssst.edu.ba/";"ba";"9046"
"Henderson Community College";"http://www.henderson.kctcs.edu/";"us";"9047"
"Wijaya Kusuma University Surabaya";"http://www.wijayakusumasby.ac.id/";"id";"9048"
"Instituto Tecnológico de León Guanajuato";"http://www.itleon.edu.mx/";"mx";"9049"
"University of Tirana";"http://www.unitir.edu.al/";"al";"9050"
"Karol Lipinski University of Music in Wroclaw";"http://www.amuz.wroc.pl/";"pl";"9051"
"Alabama Southern Community College";"http://www.ascc.edu/";"us";"9052"
"Faculdade Integrado Inesul";"http://www.inesul.edu.br/";"br";"9053"
"ISSA Universidad de Navarra";"http://www.issa.edu/";"es";"9054"
"Rose Bruford College";"http://www.bruford.ac.uk/";"uk";"9055"
"Hillsdale Free Will Baptist College";"http://www.hc.edu/";"us";"9056"
"Somerset College of Arts and Technology";"http://www.somerset.ac.uk/";"uk";"9057"
"Northwestern Connecticut Community College";"http://www.nwctc.commnet.edu/";"us";"9058"
"Fundação Educacional Jayme de Altavila";"http://www.fejal.com.br/";"br";"9059"
"Anshan Normal University";"http://www.asnc.edu.cn/";"cn";"9060"
"Baikal Institute of Business and International Management";"http://www.buk.irk.ru/";"ru";"9061"
"Universitas Tanjungpura";"http://www.untan.ac.id/";"id";"9062"
"Aib College of Business";"http://www.aib.edu/";"us";"9063"
"White Mountains Community College";"http://www.wmcc.edu/";"us";"9064"
"Japanese Red Cross College of Nursing";"http://www.redcross.ac.jp/";"jp";"9065"
"Daebul University";"http://www.daebul.ac.kr/";"kr";"9066"
"Dell Arte International School of Physical Theatre";"http://www.dellarte.com/";"us";"9067"
"Xinyang Normal University";"http://www.xytc.edu.cn/";"cn";"9068"
"Institut National Supérieur des Arts du Spectacle et des Techniques de Diffusion";"http://www.insas.be/";"be";"9069"
"King Saud bin Abdulaziz University for Health Sciences";"http://www.ksau-hs.edu.sa/";"sa";"9070"
"Faculdades Promove";"http://www.faculdadepromove.br/";"br";"9071"
"Sanyo Gakuen University";"http://www.sguc.ac.jp/";"jp";"9072"
"École de Traduction, d Interpretation de Conference";"http://www.isit-paris.fr/";"fr";"9073"
"École Nationale Supérieure d Architecture Paris Val de Seine";"http://www.paris-valdeseine.archi.fr/";"fr";"9074"
"Boston Graduate School of Psychoanalysis";"http://www.bgsp.edu/";"us";"9075"
"Universidad Católica Nordestana";"http://www.ucne.edu/";"do";"9076"
"Universidad Mayor de San Francisco Xavier de Chuquisaca";"http://www.usfx.edu.bo/";"bo";"9077"
"James A Rhodes State College";"http://www.rhodesstate.edu/";"us";"9078"
"Kwassui Women s College";"http://www.kwassui.ac.jp/";"jp";"9079"
"Universidad Antonio Ruiz de Montoya";"http://www.uarm.edu.pe/";"pe";"9080"
"Universidad Autónoma de Durango";"http://www.uad.edu.mx/";"mx";"9081"
"Suez Canal University  ";"http://www.scuegypt.edu.eg/";"eg";"9082"
"Gonabad University of Medical Sciences";"http://www.gmu.ac.ir/";"ir";"9083"
"Jamia Millia Islamia";"http://www.jmi.ac.in/";"in";"9084"
"Iranian Institute of Philosophy";"http://www.irip.ir/";"ir";"9085"
"Kunstakademie Düsseldorf";"http://www.kunstakademie-duesseldorf.de/";"de";"9086"
"Altai Academy of Economics and Law";"http://www.aael.altai.ru/";"ru";"9087"
"Haigazian University";"http://www.haigazian.edu.lb/";"lb";"9088"
"Murmansk State Pedagogical University";"http://www.mspu.edu.ru/";"ru";"9089"
"National University of Lesotho";"http://www.nul.ls/";"ls";"9090"
"Universidad Nacional Hermilio Valdizán";"http://www.unheval.edu.pe/";"pe";"9091"
"Faculdade de Ciências Humanas, Exatas e Letras de Rondonia";"http://www.faro.edu.br/";"br";"9092"
"Conservatorio di Musica Santa Cecilia";"http://conservatoriosantacecilia.it/";"it";"9093"
"School of Slavonic and East European Studies UCL";"http://www.ssees.ac.uk/";"uk";"9094"
"Turtle Mountain Community College";"http://www.turtle-mountain.cc.nd.us/";"us";"9095"
"Academy of Public Administration of the President of the Republic of Belarus  ";"http://www.pacademy.edu.by/";"by";"9096"
"Northeast Agricultural University";"http://www.neau.cn/";"cn";"9097"
"Hochschule Biberach";"http://www.hochschule-biberach.de/";"de";"9098"
"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"http://www.cefet-al.br/";"br";"9099"
"Kiev National University of Trade and Economics";"http://www.knteu.kiev.ua/";"ua";"9100"
"Universidad Científica del Sur";"http://www.ucsur.edu.pe/";"pe";"9101"
"National Danish School of Social Work Aarhus";"http://www.dsh-aa.dk/";"dk";"9102"
"Australian Lutheran College";"http://www.alc.edu.au/";"au";"9103"
"New York University Tirana";"http://www.unyt.edu.al/";"al";"9104"
"Yulin Normal University";"http://www.ylu.edu.cn/";"cn";"9105"
"Disted-Stamford College";"http://www.disted.edu.my/";"my";"9106"
"Institute for International Business and Law ";"http://www.law-and-business.de/";"de";"9107"
"Emanuel University of Oradea";"http://www.emanuel.ro/";"ro";"9108"
"Joong-Ang Sungha University";"http://www.sangha.ac.kr/";"kr";"9109"
"Naugatuck Valley Community College";"http://www.nvctc.commnet.edu/";"us";"9110"
"Lyme Academy College of Fine Arts";"http://www.lymeacademy.edu/";"us";"9111"
"College Year in Athens";"http://www.cyathens.org/";"gr";"9112"
"Technical Education Copenhagen";"http://www.tec.dk/";"dk";"9113"
"Weifang Medical College";"http://www.wfmc.edu.cn/";"cn";"9114"
"International School of Kenya";"http://www.isk.ac.ke/";"ke";"9115"
"Cefedem Rhone-Alpes";"http://www.cefedem-rhonealpes.org/";"fr";"9116"
"Universidad Finis Terrae";"http://www.finisterrae.cl/";"cl";"9117"
"Haikou College of Economics";"http://www.hkc.edu.cn/";"cn";"9118"
"Menzies School of Health Research";"http://www.menzies.edu.au/";"au";"9119"
"Martin University";"http://www.martin.edu/";"us";"9120"
"College of Physicians & Surgeons Pakistan";"http://www.cpsp.edu.pk/";"pk";"9121"
"University of Split Faculty of Maritime Studies";"http://www.pfst.hr/";"hr";"9122"
"Faculdade de Direito de Santa Maria";"http://www.fadisma.com.br/";"br";"9123"
"Taizhong Technical College";"http://www.tzvtc.com/";"cn";"9124"
"Saint Petersburg State Pavlov Medical University";"http://www.spbmedu.ru/";"ru";"9125"
"Saratov State Academy of Law";"http://www.sgap.ru/";"ru";"9126"
"Escuela Universitaria Cardenal Cisneros";"http://www.cardenalcisneros.es/";"es";"9127"
"Centro Universitário Ibero Americano";"http://www.unibero.edu.br/";"br";"9128"
"Centro Universitário de Lins";"http://www.unilins.edu.br/";"br";"9129"
"Tongling University  ";"http://www.tlu.edu.cn/";"cn";"9130"
"Al-Hussein bin Talal University";"http://www.ahu.edu.jo/";"jo";"9131"
"Al-Farabi Kazakh National University  ";"http://www.kaznu.kz/";"kz";"9132"
"University of Papua New Guinea";"http://www.upng.ac.pg/";"pg";"9133"
"Asia Pacific University College of Technology & Innovation";"http://www.ucti.edu.my/";"my";"9134"
"Centro Universitário de Anapolis";"http://www.unievangelica.edu.br/";"br";"9135"
"Poltava National Technical University Yuri Kondratyuk";"http://www.pntu.edu.ua/";"ua";"9136"
"Yamagata Prefectural University of Health Science";"http://www.yachts.ac.jp/";"jp";"9137"
"Centro Universitário Fieo";"http://www.fieo.br/";"br";"9138"
"Escola Massana";"http://www.escolamassana.es/";"es";"9139"
"Dublin Business School";"http://www.dbs.ie/";"ie";"9140"
"Lomonosov Moscow State Academy of Fine Chemical Technology";"http://www.mitht.ru/";"ru";"9141"
"Anyang Institute of Technology";"http://www.ayit.edu.cn/";"cn";"9142"
"University of Banja Luka  ";"http://www.unibl.org/";"ba";"9143"
"Universitas Islam Nusantara";"http://www.uninus.ac.id/";"id";"9144"
"Janos Selye University";"http://www.selyeuni.sk/";"sk";"9145"
"Prasetiya Mulya Business School";"http://www.pmbs.ac.id/";"id";"9146"
"Instituto Universitario de Administración de Empresas";"http://www.iade.org/";"es";"9147"
"Darlington College of Technology";"http://www.darlington.ac.uk/";"uk";"9148"
"Sardar Vallabhbhai National Institute of Technology Surat";"http://www.svnit.ac.in/";"in";"9149"
"Nagasaki Junshin Catholic University";"http://www.n-junshin.ac.jp/";"jp";"9150"
"Shaanxi University of Technology";"http://www.snut.edu.cn/";"cn";"9151"
"Istituto Superiore di Studi Musicali Braga";"http://www.istitutobraga.it/";"it";"9152"
"Cologne Business School";"http://www.cbs-edu.de/";"de";"9153"
"College of Coastal Georgia";"http://www.ccga.edu/";"us";"9154"
"Hanil University & Presbyterian Theological Seminary";"http://www.hanil.ac.kr/";"kr";"9155"
"National University of Management Kiev";"http://www.nam.kiev.ua/";"ua";"9156"
"New York School of Interior Design";"http://www.nysid.edu/";"us";"9157"
"Institut National de Statistique et d Economie Appliquee";"http://www.insea.ac.ma/";"ma";"9158"
"Nile University ";"http://www.nileu.edu.eg/";"eg";"9159"
"Arts University College at Bournemouth  ";"http://www.aucb.ac.uk/";"uk";"9160"
"Ratchatani College of Technology";"http://www.rtu.ac.th/";"th";"9161"
"Centro Universitário de Formiga";"http://www.uniformg.edu.br/";"br";"9162"
"Dakota College (Minot State University) Bottineau";"http://www.dakotacollege.edu/";"us";"9163"
"Conservatorio di Musica Guido Cantelli Messina";"http://www.conservatorionovara.it/";"it";"9164"
"Quincy College";"http://www.quincycollege.edu/";"us";"9165"
"Transbaikal State Humanitarian-Pedagogical University NG Chernyshevsky";"http://zabspu.ru/";"ru";"9166"
"Wuxi South Ocean College";"http://www.wsoc.edu.cn/";"cn";"9167"
"Faculdade Zumbi dos Palmares";"http://www.zumbidospalmares.edu.br/";"br";"9168"
"Faculdades Milton Campos";"http://www.mcampos.br/";"br";"9169"
